Date Value
2003-02-28 103.05770702
2003-03-31 103.17625323
2003-04-30 103.68765908
2003-05-31 104.44965439
2003-06-30 105.20574041
2003-07-31 105.58541296
2003-08-31 105.70354499
2003-09-30 105.72142023
2003-10-31 105.47129365
2003-11-30 105.18605634
2003-12-31 105.15502719
2004-01-31 105.23515719
2004-02-29 105.41810834
2004-03-31 106.01310369
2004-04-30 106.94477373
2004-05-31 107.77814678
2004-06-30 108.32077339
2004-07-31 108.74737913
2004-08-31 108.97036006
2004-09-30 109.0867195
2004-10-31 109.2184953
2004-11-30 109.15459736
2004-12-31 109.02123665
2005-01-31 109.27419991
2005-02-28 110.03682441
2005-03-31 110.96297853
2005-04-30 111.96132255
2005-05-31 113.0013837
2005-06-30 113.65465456
2005-07-31 114.29486375
2005-08-31 115.16425381
2005-09-30 115.79608339
2005-10-31 116.16975818
2005-11-30 116.44580818
2005-12-31 116.80222051
2006-01-31 117.29604643
2006-02-28 117.92652697
2006-03-31 118.81098105
2006-04-30 120.00085627
2006-05-31 121.23148623
2006-06-30 122.3194732
2006-07-31 123.20343757
2006-08-31 123.52441954
2006-09-30 123.48084024
2006-10-31 123.73170951
2006-11-30 124.07427198
2006-12-31 124.28295978
2007-01-31 124.62199381
2007-02-28 125.32611781
2007-03-31 126.28539289
2007-04-30 127.45392837
2007-05-31 128.75445574
2007-06-30 129.89099751
2007-07-31 130.47929843
2007-08-31 130.48123644
2007-09-30 130.12311813
2007-10-31 129.51846373
2007-11-30 129.06127109
2007-12-31 128.705801
2008-01-31 128.36219595
2008-02-29 128.535329
2008-03-31 129.10408698
2008-04-30 129.91280095
2008-05-31 130.87986042
2008-06-30 131.53979271
2008-07-31 131.66344377
2008-08-31 131.13347784
2008-09-30 129.98151091
2008-10-31 128.42265237
2008-11-30 126.88472678
2008-12-31 125.78760322
2009-01-31 125.32103548
2009-02-28 125.36336512
2009-03-31 125.57838212
2009-04-30 125.82837661
2009-05-31 126.10429841
2009-06-30 126.14484435
2009-07-31 125.58877055
2009-08-31 124.86650942
2009-09-30 124.48561913
2009-10-31 124.09358955
2009-11-30 123.21972188
2009-12-31 122.02478148
2010-01-31 121.21441707
2010-02-28 121.16071299
2010-03-31 121.7190574
2010-04-30 122.53932152
2010-05-31 123.07971677
2010-06-30 122.70001399
2010-07-31 121.4374379
2010-08-31 119.84447954
2010-09-30 118.51294738
2010-10-31 117.88400002
2010-11-30 117.59133293
2010-12-31 116.99100428
2011-01-31 116.11104618
2011-02-28 115.47259025
2011-03-31 115.7046688
2011-04-30 116.6790573
2011-05-31 117.51716766
2011-06-30 117.82361396
2011-07-31 117.59990632
2011-08-31 117.2281488
2011-09-30 116.80941396
2011-10-31 116.31409545
2011-11-30 116.07383621
2011-12-31 115.80963254
2012-01-31 115.31636719
2012-02-29 115.04976503
2012-03-31 115.38982523
2012-04-30 116.23297701
2012-05-31 117.28278061
2012-06-30 117.99251866
2012-07-31 118.07195582
2012-08-31 118.05332361
2012-09-30 118.16673214
2012-10-31 118.21979845
2012-11-30 118.18285743
2012-12-31 117.90602324
2013-01-31 117.76224519
2013-02-28 118.48943587
2013-03-31 120.09116794
2013-04-30 121.89622281
2013-05-31 123.43808204
2013-06-30 124.57949606
2013-07-31 125.32068395
2013-08-31 125.60499989
2013-09-30 125.28038385
2013-10-31 124.94422636
2013-11-30 124.88636153
2013-12-31 124.70859471
2014-01-31 124.76222675
2014-02-28 125.25399934
2014-03-31 126.16323431
2014-04-30 127.48591686
2014-05-31 128.82925461
2014-06-30 129.74392582
2014-07-31 130.29358922
2014-08-31 130.57026198
2014-09-30 130.53922684
2014-10-31 130.49285726
2014-11-30 130.38683674
2014-12-31 130.28235965
2015-01-31 130.6798076
2015-02-28 131.87880107
2015-03-31 133.50473382
2015-04-30 135.13029881
2015-05-31 136.57060373
2015-06-30 137.78402081
2015-07-31 138.6360364
2015-08-31 139.05813632
2015-09-30 139.21249051
2015-10-31 139.56744608
2015-11-30 140.18941654
2015-12-31 140.732851
